wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat,blank
272,9.3,4.1499999999999995,7.6499999999999995,6.6499999999999995,6.5,5.875,5.375,4.975,4.625,4.375,2.95,2.6,2.125,2.0,1.9249999999999998,1.9249999999999998,1.8,2.025,18.325,24.333333333333332,98.2
273,9.25,4.125,7.6,6.6499999999999995,6.475,5.875,5.324999999999999,4.95,4.574999999999999,4.35,2.95,2.6500000000000004,2.1750000000000003,2.0,2.0,1.975,1.8250000000000002,2.0749999999999997,18.3,24.333333333333332,98.2
274,9.2,4.1,7.6,6.6,6.45,5.824999999999999,5.3,4.925000000000001,4.55,4.324999999999999,2.975,2.675,2.2,2.05,2.0,2.025,1.875,2.125,18.225,24.23333333333333,98.2
275,9.2,4.1,7.575,6.6,6.45,5.824999999999999,5.3,4.925000000000001,4.55,4.324999999999999,2.975,2.7,2.25,2.1,2.0749999999999997,2.1,1.9,2.1750000000000003,18.25,24.23333333333333,98.2
276,9.25,4.1,7.575,6.624999999999999,6.45,5.824999999999999,5.3,4.925000000000001,4.574999999999999,4.324999999999999,3.0,2.75,2.3,2.125,2.1,2.125,2.0,2.25,18.4,24.400000000000002,98.2
277,9.25,4.1,7.6,6.6499999999999995,6.45,5.85,5.3,4.925000000000001,4.574999999999999,4.324999999999999,3.05,2.8,2.3249999999999997,2.2,2.2,2.2,2.05,2.3,18.525000000000002,24.5,98.2
278,9.25,4.1,7.6,6.624999999999999,6.45,5.85,5.3,4.925000000000001,4.55,4.3,3.0749999999999997,2.8,2.375,2.2,2.2,2.225,2.1,2.3249999999999997,18.55,24.599999999999998,98.2
279,9.25,4.1,7.550000000000001,6.624999999999999,6.45,5.85,5.3,4.9,4.525,4.3,3.0749999999999997,2.8,2.4,2.2,2.25,2.275,2.1,2.375,18.6,24.633333333333336,98.1
280,9.25,4.1,7.550000000000001,6.624999999999999,6.45,5.85,5.3,4.9,4.525,4.3,3.0749999999999997,2.85,2.4,2.3,2.3,2.3,2.1750000000000003,2.4,18.675,24.666666666666668,98.1
281,9.25,4.1,7.6,6.624999999999999,6.45,5.85,5.3,4.9,4.525,4.3,3.1,2.9,2.425,2.3,2.3,2.35,2.2,2.475,18.925,24.833333333333332,98.1
