wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
807,54.4,52.7,55.75,55.26666666666667,57.5,52.36
808,54.425,52.7,55.775,55.333333333333336,57.55,52.42
809,54.425,52.724999999999994,55.825,55.36666666666667,57.575,52.44
810,54.525000000000006,52.800000000000004,55.825,55.5,57.650000000000006,52.52
811,54.5,52.85,55.925,55.5,57.650000000000006,52.54
812,54.55,52.875,55.974999999999994,55.5,57.675000000000004,52.54
813,54.55,52.875,56.075,55.5,57.775000000000006,52.56
814,54.599999999999994,52.85,56.075,55.46666666666667,57.775,52.56
815,54.599999999999994,52.824999999999996,56.125,55.43333333333334,57.775,52.56
816,54.599999999999994,52.9,56.2,55.46666666666667,57.8,52.56
817,54.724999999999994,52.925000000000004,56.225,55.400000000000006,57.8,52.660000000000004
818,54.99999999999999,52.925000000000004,56.2,55.46666666666667,57.925000000000004,52.7
819,55.075,53.15,56.3,55.53333333333333,57.975,52.739999999999995
820,55.175,53.225,56.225,55.699999999999996,58.25,52.8
821,55.400000000000006,53.375,56.25,56.06666666666666,58.525000000000006,52.98
822,56.55,53.725,56.5,56.800000000000004,59.35,53.32000000000001
823,56.925,53.900000000000006,56.375,57.36666666666667,59.474999999999994,53.419999999999995
824,56.7,53.75,56.14999999999999,57.43333333333334,59.349999999999994,52.8
825,56.175,53.75,55.95,57.06666666666666,59.125,52.739999999999995
826,55.324999999999996,53.75,55.975,56.4,58.95,53.02
827,55.05,53.8,56.95,55.93333333333333,58.89999999999999,53.2
828,55.175,53.775,57.675,56.06666666666666,58.925,53.540000000000006
829,55.12500000000001,53.724999999999994,57.5,56.13333333333333,58.725,53.540000000000006
830,54.95,53.725,57.224999999999994,56.03333333333334,58.449999999999996,53.540000000000006
831,54.824999999999996,53.675000000000004,57.25,55.76666666666667,58.349999999999994,53.52
832,54.725,53.675,57.65,55.666666666666664,58.375,53.5
833,55.025,53.675,57.775000000000006,55.73333333333333,58.6,53.48
834,55.6,53.75,57.7,56.46666666666667,59.025000000000006,53.54
835,55.75,53.825,57.05,56.76666666666667,59.02499999999999,53.4
836,55.475,53.8,56.7,56.53333333333333,58.675000000000004,53.339999999999996
837,55.150000000000006,53.849999999999994,56.775,56.20000000000001,58.575,53.4
838,54.824999999999996,53.849999999999994,57.2,56.06666666666666,58.55,53.4
839,54.75,53.775000000000006,57.75,56.0,58.5,53.4
840,54.875,53.900000000000006,57.900000000000006,56.0,58.55,53.4
841,55.225,53.9,57.849999999999994,56.03333333333333,58.75,53.4
