Wavelength,PreheatTrans,PostheatTrans,Irrad1Trans,Irrad2Trans,Irrad3Trans,Irrad4Trans,Irrad5Trans,Irrad6Trans,Irrad7Trans,Irrad8Trans,Irrad9Trans,Irrad10Trans,Irrad11Trans,Irrad12Trans,Irrad13Trans,Irrad14Trans,Irrad15Trans
905,64.18,59,55.16,55.16,57.33,57.48,57.35,57.325,56.66,55.55,55.55,56.625,55.98,54.6,52.38,54.7,53.98
906,64.03,58.98,54.98,54.98,57.3,57.45,57.28,57.3,56.68,55.53,55.53,56.75,55.88,54.78,52.5,54.68,54.05
907,64.05,58.8,55,55,57.33,57.43,57.05,57.275,56.66,55.45,55.45,56.775,55.83,54.85,52.38,54.58,53.98
908,64.15,58.78,55.2,55.2,57.35,57.3,57.15,57.3,56.68,55.6,55.6,56.725,55.85,54.88,52.38,54.58,53.9
909,64.2,58.65,55.16,55.16,57.35,57.3,57.05,57.375,56.36,55.63,55.63,56.5,55.78,54.88,52.45,54.43,53.85
910,64.6,58.6,55.08,55.08,57.38,57.4,57.03,57.425,56.24,55.65,55.65,56.425,55.6,54.93,52.53,54.53,54.05
911,64.7,58.68,55.08,55.08,57.38,57.45,57.2,57.45,56.32,55.88,55.88,56.4,55.73,54.95,52.63,54.6,54.1
912,64.68,58.7,55.1,55.1,57.38,57.45,57.25,57.55,56.42,55.88,55.88,56.4,55.75,54.93,52.63,54.6,54.13
913,64.68,58.75,55.18,55.18,57.4,57.5,57.25,57.55,56.64,55.9,55.9,56.425,55.83,54.98,52.63,54.63,54.23
914,64.63,58.8,55.26,55.26,57.43,57.55,57.33,57.6,56.68,55.93,55.93,56.5,56.05,54.98,52.65,54.68,54.3
915,64.58,58.95,55.34,55.34,57.68,57.6,57.5,57.7,56.94,55.9,55.9,56.7,56.08,55,52.68,54.83,54.4
916,64.6,59.43,55.58,55.58,57.85,57.8,57.68,58.025,57.38,55.9,55.9,56.825,56.4,55.05,52.83,54.88,54.45
917,64.45,59.45,55.66,55.66,57.8,57.88,57.7,58.075,57.44,55.9,55.9,57.1,56.65,54.95,52.8,55.2,54.7
918,64.53,59.48,55.58,55.58,57.7,57.85,57.63,58.1,57.38,55.95,55.95,57.075,56.8,55.03,52.8,55.18,54.65
919,64.75,59.55,55.72,55.72,57.83,57.83,57.65,57.925,57.34,55.93,55.93,56.925,56.75,55.15,52.88,55.13,54.63
920,64.78,59.48,55.72,55.72,57.85,57.95,57.65,58.15,57.32,56.05,56.05,56.95,56.75,55.3,52.98,55.28,54.55
