wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 1 10
365,97.3,29.76666667,25.05,16.05,15.225,14.75,15.65,15.425,15.15,14.575,14.175,14.125,14.125
366,97.3,29.9,25.15,16.2,15.4,14.9,15.825,15.625,15.35,14.775,14.35,14.35,14.3
367,97.5,30,25.325,16.35,15.55,15.05,16,15.825,15.6,15,14.525,14.55,14.45
368,97.5,30.16666667,25.45,16.6,15.775,15.275,16.275,16.05,15.75,15.25,14.825,14.8,14.775
369,97.4,30.23333333,25.6,16.825,15.95,15.575,16.525,16.25,16.025,15.5,15.05,15.05,15
370,97.4,30.33333333,25.65,16.925,16.15,15.75,16.65,16.4,16.225,15.675,15.225,15.225,15.2
371,97.5,30.33333333,25.675,17.025,16.275,15.85,16.8,16.6,16.375,15.8,15.4,15.425,15.375
372,97.6,30.43333333,25.725,17.15,16.425,16.05,17.05,16.75,16.525,16.075,15.675,15.65,15.6
373,97.6,30.6,25.85,17.45,16.7,16.25,17.3,16.975,16.775,16.35,15.9,15.85,15.875
374,97.6,30.63333333,25.925,17.6,16.875,16.45,17.5,17.2,16.975,16.6,16.15,16.05,16.1
375,97.5,30.63333333,25.95,17.625,16.9,16.475,17.5,17.3,17.05,16.7,16.2,16.125,16.15
376,97.2,30.3,25.575,17.575,16.825,16.475,17.425,17.225,17.025,16.625,16.15,16.15,16.075
377,97.2,29.93333333,25.35,17.4,16.725,16.475,17.375,17.2,16.875,16.45,16.025,16.15,16.05
378,97.2,29.66666667,25.2,17.35,16.725,16.475,17.4,17.225,16.95,16.45,16.05,16.15,16.05
379,97.2,29.66666667,25.25,17.4,16.85,16.55,17.5,17.325,17.1,16.675,16.15,16.275,16.225
380,97.2,29.76666667,25.375,17.675,17.075,16.75,17.775,17.575,17.4,16.925,16.425,16.55,16.45
381,97.1,29.86666667,25.45,17.9,17.3,16.975,18.025,17.825,17.575,17.125,16.7,16.75,16.725
382,97.1,29.86666667,25.45,18.05,17.375,17.075,18.175,17.925,17.65,17.275,16.775,16.9,16.8
383,97.1,29.86666667,25.425,18.075,17.375,17.075,18.175,17.95,17.675,17.3,16.825,16.925,16.85
384,97.1,29.83333333,25.425,18.175,17.5,17.15,18.2,18.1,17.775,17.425,16.95,16.975,16.925
385,97.1,29.83333333,25.425,18.275,17.6,17.275,18.275,18.15,17.9,17.475,17.025,17.1,17.025
386,97.1,29.8,25.4,18.3,17.65,17.325,18.425,18.175,17.95,17.575,17.15,17.175,17.125
387,97.2,29.8,25.375,18.35,17.75,17.375,18.475,18.3,18.05,17.625,17.2,17.35,17.275
388,97.2,29.8,25.425,18.55,17.925,17.675,18.65,18.55,18.325,17.85,17.4,17.575,17.45
389,97.2,29.76666667,25.525,18.75,18.175,17.8,18.925,18.75,18.525,18.2,17.625,17.725,17.725
390,97.1,30.3,26.1,19.35,18.65,18.325,19.425,19.25,19.075,18.725,18.175,18.3,18.275
391,97.1,30.56666667,26.225,19.475,18.9,18.6,19.725,19.375,19.3,18.925,18.35,18.55,18.425
392,96.8,30.7,26.4,19.625,19.025,18.8,19.825,19.55,19.55,19.05,18.625,18.675,18.625
393,96.9,30.76666667,26.4,19.7,19.125,18.9,19.95,19.725,19.625,19.175,18.65,18.8,18.75
394,97.4,30.76666667,26.4,19.75,19.15,18.975,20,19.85,19.675,19.175,18.725,18.925,18.775
395,97.5,30.8,26.475,19.85,19.375,19.1,20.15,19.975,19.725,19.35,18.825,19.075,18.9
396,97.6,30.93333333,26.55,20.025,19.5,19.3,20.45,20.175,19.95,19.475,19.05,19.25,19.2
