S8 Irrad 1,,
S8 Irrad 1 1,"Date : 22/07/2021, 12:14:01",
Wavelength (nm),ABS,%T
305.00,0.975,10.6
306.00,0.972,10.7
307.00,0.969,10.7
308.00,0.964,10.9
309.00,0.962,10.9
310.00,0.962,10.9
311.00,0.96,11
312.00,0.957,11
313.00,0.953,11.1
314.00,0.949,11.2
315.00,0.948,11.3
316.00,0.948,11.3
317.00,0.944,11.4
318.00,0.939,11.5
319.00,0.935,11.6
320.00,0.932,11.7
321.00,0.925,11.9
322.00,0.917,12.1
323.00,0.911,12.3
324.00,0.909,12.3
325.00,0.909,12.3
326.00,0.907,12.4
327.00,0.902,12.5
328.00,0.896,12.7
329.00,0.89,12.9
330.00,0.884,13.1
331.00,0.876,13.3
332.00,0.872,13.4
333.00,0.87,13.5
334.00,0.868,13.6
335.00,0.863,13.7
336.00,0.857,13.9
337.00,0.851,14.1
338.00,0.846,14.3
339.00,0.841,14.4
340.00,0.835,14.6
341.00,0.828,14.9
342.00,0.821,15.1
343.00,0.817,15.3
344.00,0.815,15.3
345.00,0.815,15.3
346.00,0.812,15.4
347.00,0.804,15.7
348.00,0.797,15.9
349.00,0.791,16.2
350.00,0.787,16.3
351.00,0.779,16.6
352.00,0.776,16.7
353.00,0.771,16.9
354.00,0.768,17.1
355.00,0.761,17.3
356.00,0.758,17.4
357.00,0.758,17.4
358.00,0.756,17.6
359.00,0.748,17.8
360.00,0.746,17.9
361.00,0.748,17.8
362.00,0.749,17.8
363.00,0.748,17.8
364.00,0.742,18.1
365.00,0.735,18.4
366.00,0.733,18.5
367.00,0.729,18.7
368.00,0.723,18.9
369.00,0.718,19.2
370.00,0.714,19.3
371.00,0.71,19.5
372.00,0.709,19.6
373.00,0.703,19.8
374.00,0.701,19.9
375.00,0.697,20.1
376.00,0.697,20.1
377.00,0.697,20.1
378.00,0.698,20.1
379.00,0.697,20.1
380.00,0.692,20.3
381.00,0.689,20.5
382.00,0.687,20.6
383.00,0.685,20.7
384.00,0.685,20.7
385.00,0.683,20.7
386.00,0.679,20.9
387.00,0.678,21
388.00,0.674,21.2
389.00,0.668,21.5
390.00,0.655,22.2
391.00,0.65,22.4
392.00,0.649,22.4
393.00,0.647,22.5
394.00,0.644,22.7
395.00,0.641,22.8
396.00,0.639,23
397.00,0.633,23.3
398.00,0.629,23.5
399.00,0.628,23.5
400.00,0.626,23.7
401.00,0.622,23.9
402.00,0.618,24.1
403.00,0.618,24.1
404.00,0.616,24.2
