wavelength,S9 Irrad 1,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Postheat,S9 Postheat Day 1,S9 Preheat,blank
493,0.48375,0.5215,0.52875,0.53175,0.5467500000000001,0.55025,0.5347500000000001,0.48775,0.5014,0.51525,0.51325,0.516,0.524,0.5175000000000001,0.51675,0.52725,0.429,0.429,0.376,0.416
494,0.482,0.521,0.52775,0.531,0.5455000000000001,0.5487500000000001,0.5327500000000001,0.48575,0.499,0.51325,0.5117499999999999,0.5149999999999999,0.5225,0.51575,0.51525,0.52625,0.42679999999999996,0.4283333333333333,0.37525,0.414
495,0.4785,0.519,0.525,0.52725,0.54325,0.54575,0.52925,0.482,0.496,0.5105,0.50925,0.5107499999999999,0.51875,0.5122500000000001,0.5125,0.523,0.4246,0.4246666666666667,0.37224999999999997,0.412
496,0.47574999999999995,0.5165,0.5215000000000001,0.5242500000000001,0.5395000000000001,0.543,0.527,0.47924999999999995,0.4936,0.50775,0.5069999999999999,0.50775,0.5157499999999999,0.5095,0.51,0.51975,0.4202,0.4223333333333333,0.37,0.41
497,0.474,0.5155000000000001,0.52075,0.52275,0.5385,0.5425000000000001,0.52625,0.478,0.49260000000000004,0.507,0.5062500000000001,0.50675,0.515,0.50875,0.5090000000000001,0.519,0.4196,0.42133333333333334,0.36925,0.408
498,0.47375,0.514,0.52075,0.5225,0.5375000000000001,0.54225,0.52575,0.477,0.49219999999999997,0.50675,0.5055000000000001,0.50675,0.514,0.5085,0.5075000000000001,0.51825,0.41879999999999995,0.4203333333333333,0.36849999999999994,0.408
499,0.47275,0.5135,0.5202500000000001,0.52175,0.537,0.54175,0.5247499999999999,0.47624999999999995,0.49119999999999997,0.50475,0.50375,0.50475,0.51325,0.507,0.50725,0.5177499999999999,0.418,0.42,0.36824999999999997,0.406
500,0.471,0.51175,0.51825,0.52125,0.536,0.5405000000000001,0.52325,0.47450000000000003,0.491,0.50375,0.50325,0.50425,0.512,0.506,0.5050000000000001,0.51725,0.4164,0.4183333333333333,0.36675,0.405
501,0.47,0.5102500000000001,0.51725,0.519,0.5347500000000001,0.5387500000000001,0.5215000000000001,0.47325,0.48839999999999995,0.502,0.501,0.5022500000000001,0.5095,0.5037499999999999,0.5035000000000001,0.51475,0.414,0.41733333333333333,0.36524999999999996,0.404
502,0.46775,0.508,0.51425,0.517,0.5325,0.53725,0.51875,0.47024999999999995,0.4854,0.50075,0.49924999999999997,0.5005,0.5085,0.50125,0.502,0.51225,0.41180000000000005,0.41566666666666663,0.36375,0.402
503,0.4665,0.50675,0.5135000000000001,0.5157499999999999,0.5305,0.53525,0.51725,0.46849999999999997,0.48439999999999994,0.49975,0.49825,0.49825,0.5062500000000001,0.49975,0.5005,0.51025,0.4096,0.4143333333333333,0.362,0.401
504,0.46499999999999997,0.5055,0.512,0.51425,0.52975,0.53375,0.5155000000000001,0.46725,0.48260000000000003,0.499,0.4965,0.498,0.50525,0.49824999999999997,0.49875,0.5095000000000001,0.4084,0.4126666666666667,0.36074999999999996,0.399
505,0.46325000000000005,0.50375,0.51025,0.5125,0.529,0.533,0.51475,0.466,0.481,0.49775,0.49575,0.49624999999999997,0.5045000000000001,0.49624999999999997,0.498,0.5075,0.4072,0.411,0.36,0.398
506,0.462,0.5022500000000001,0.509,0.51075,0.528,0.532,0.5135000000000001,0.46449999999999997,0.48,0.496,0.494,0.495,0.503,0.49474999999999997,0.49675,0.50625,0.4064,0.409,0.3585,0.396
507,0.45925000000000005,0.50075,0.5067499999999999,0.5090000000000001,0.5265,0.5295000000000001,0.51125,0.4625,0.4779999999999999,0.4945,0.49249999999999994,0.49324999999999997,0.5005000000000001,0.49324999999999997,0.49450000000000005,0.5042500000000001,0.4042,0.408,0.35674999999999996,0.396
508,0.4575,0.4985,0.5052500000000001,0.5065,0.52425,0.528,0.5097499999999999,0.4605,0.47640000000000005,0.493,0.491,0.49124999999999996,0.499,0.49124999999999996,0.494,0.5025000000000001,0.40260000000000007,0.4063333333333334,0.35524999999999995,0.394
509,0.45575000000000004,0.49775,0.50375,0.50625,0.523,0.52725,0.50825,0.4595,0.4744,0.49175,0.48975,0.48949999999999994,0.4975,0.49,0.49224999999999997,0.5015000000000001,0.4008000000000001,0.40399999999999997,0.354,0.392
510,0.45475,0.49624999999999997,0.50275,0.50475,0.52225,0.526,0.50675,0.45825000000000005,0.47400000000000003,0.49025,0.489,0.4885,0.49675,0.48875,0.49124999999999996,0.50075,0.3994,0.4033333333333333,0.353,0.392
511,0.4535,0.496,0.502,0.5045,0.5215000000000001,0.525,0.5057499999999999,0.45725000000000005,0.473,0.49,0.48724999999999996,0.48750000000000004,0.496,0.48824999999999996,0.49075,0.499,0.3982,0.403,0.35225,0.39
512,0.453,0.49475,0.501,0.5035,0.521,0.52425,0.50525,0.4565,0.47219999999999995,0.48949999999999994,0.4865,0.487,0.49525,0.488,0.49050000000000005,0.49824999999999997,0.39720000000000005,0.40166666666666667,0.35124999999999995,0.389
513,0.45275,0.49424999999999997,0.50075,0.5035,0.5197499999999999,0.52375,0.50425,0.4555,0.47140000000000004,0.48875,0.48625,0.486,0.4945,0.48750000000000004,0.49,0.49824999999999997,0.3970000000000001,0.4013333333333334,0.35124999999999995,0.389
514,0.45075,0.49250000000000005,0.49775,0.5017499999999999,0.519,0.52225,0.503,0.45275,0.46959999999999996,0.48725,0.485,0.48475,0.493,0.4865,0.48824999999999996,0.49624999999999997,0.39580000000000004,0.40066666666666667,0.34975,0.389
515,0.44925,0.491,0.497,0.499,0.51725,0.5205,0.50125,0.45075000000000004,0.46719999999999995,0.48475,0.4825,0.48224999999999996,0.49124999999999996,0.484,0.48650000000000004,0.4945,0.3934,0.39799999999999996,0.348,0.387
516,0.44625000000000004,0.488,0.495,0.49624999999999997,0.51525,0.51925,0.49975,0.44875,0.4648,0.483,0.4805,0.48050000000000004,0.48875,0.48125,0.48449999999999993,0.49249999999999994,0.38980000000000004,0.3960000000000001,0.34550000000000003,0.386
517,0.44475000000000003,0.487,0.4925,0.496,0.514,0.51675,0.49874999999999997,0.44825000000000004,0.4636,0.482,0.47925,0.47974999999999995,0.487,0.4805,0.4835,0.49050000000000005,0.38859999999999995,0.39433333333333337,0.34475,0.383
518,0.4445,0.48750000000000004,0.4925,0.496,0.51425,0.517,0.4985,0.4485,0.46399999999999997,0.482,0.479,0.47974999999999995,0.4875,0.48075,0.48375,0.491,0.3888,0.39433333333333337,0.3445,0.383
519,0.44525000000000003,0.488,0.49324999999999997,0.49724999999999997,0.51425,0.5175,0.499,0.4485,0.4646,0.48175,0.47975,0.47974999999999995,0.4875,0.48175,0.484,0.4915,0.38900000000000007,0.3946666666666667,0.34575,0.383
520,0.44475000000000003,0.48775,0.49350000000000005,0.497,0.514,0.51725,0.49824999999999997,0.44775000000000004,0.4640000000000001,0.48124999999999996,0.47950000000000004,0.4795,0.4875,0.48175,0.484,0.4905,0.3888,0.3946666666666667,0.345,0.383
521,0.443,0.487,0.49174999999999996,0.495,0.51325,0.5165000000000001,0.49624999999999997,0.4455,0.46180000000000004,0.4795,0.47825,0.478,0.48549999999999993,0.48024999999999995,0.4825,0.48875,0.3872,0.393,0.34249999999999997,0.381
