S6 Preheat,,
S6 Preheat 1,"Date : 15/07/2021, 08:47:57",
Wavelength (nm),ABS,%T
914,0.28,52.4
915,0.278,52.7
916,0.276,53
917,0.275,53.1
918,0.273,53.3
919,0.273,53.3
920,0.275,53.1
921,0.275,53
922,0.275,53.1
923,0.275,53.1
924,0.275,53.1
925,0.275,53.1
926,0.275,53.1
927,0.275,53.1
928,0.275,53.1
929,0.275,53.1
930,0.276,53
931,0.275,53
932,0.275,53
933,0.275,53
934,0.275,53
935,0.276,53
936,0.275,53
937,0.275,53
938,0.275,53.1
939,0.271,53.6
940,0.271,53.6
941,0.271,53.6
942,0.272,53.4
943,0.272,53.4
944,0.272,53.4
945,0.272,53.5
946,0.272,53.5
947,0.272,53.5
948,0.272,53.5
949,0.271,53.5
950,0.28,52.4
951,0.29,51.3
952,0.292,51.1
953,0.294,50.8
954,0.296,50.6
955,0.298,50.4
956,0.302,49.9
957,0.304,49.6
958,0.307,49.4
959,0.308,49.2
960,0.309,49
961,0.311,48.8
962,0.312,48.8
963,0.312,48.7
964,0.314,48.6
965,0.315,48.4
966,0.316,48.3
967,0.319,48
968,0.322,47.7
969,0.325,47.3
970,0.327,47.1
971,0.328,47
972,0.328,47
973,0.327,47.1
974,0.324,47.4
975,0.321,47.8
976,0.322,47.7
977,0.322,47.6
978,0.32,47.8
979,0.317,48.2
980,0.313,48.7
981,0.296,50.6
982,0.296,50.6
983,0.295,50.7
984,0.29,51.3
985,0.294,50.8
986,0.298,50.3
987,0.305,49.6
988,0.313,48.6
989,0.317,48.2
990,0.316,48.3
991,0.316,48.3
992,0.311,48.8
993,0.308,49.2
994,0.297,50.4
995,0.293,50.9
996,0.292,51.1
997,0.29,51.3
998,0.286,51.7
999,0.287,51.7
"1,000.00",0.29,51.3
"1,001.00",0.293,50.9
"1,002.00",0.297,50.4
"1,003.00",0.3,50.2
"1,004.00",0.301,50
"1,005.00",0.302,49.9
"1,006.00",0.302,49.9
"1,007.00",0.302,49.9
"1,008.00",0.302,49.9
"1,009.00",0.302,49.9
"1,010.00",0.302,49.9
"1,011.00",0.301,50
"1,012.00",0.301,50
"1,013.00",0.3,50.1
"1,014.00",0.299,50.2
"1,015.00",0.298,50.4
"1,016.00",0.296,50.6
"1,017.00",0.29,51.3
"1,018.00",0.293,50.9
"1,019.00",0.295,50.7
"1,020.00",0.299,50.2
"1,021.00",0.305,49.5
"1,022.00",0.306,49.4
"1,023.00",0.307,49.4
"1,024.00",0.308,49.2
"1,025.00",0.309,49.1
"1,026.00",0.311,48.9
"1,027.00",0.311,48.8
"1,028.00",0.312,48.7
"1,029.00",0.314,48.5
"1,030.00",0.315,48.4
"1,031.00",0.316,48.3
"1,032.00",0.316,48.3
"1,033.00",0.316,48.3
"1,034.00",0.317,48.2
"1,035.00",0.321,47.7
"1,036.00",0.321,47.7
"1,037.00",0.326,47.2
"1,038.00",0.327,47.1
"1,039.00",0.327,47.1
"1,040.00",0.329,46.8
"1,041.00",0.331,46.6
"1,042.00",0.333,46.4
"1,043.00",0.334,46.4
"1,044.00",0.34,45.8
"1,045.00",0.339,45.8
"1,046.00",0.339,45.8
"1,047.00",0.34,45.8
"1,048.00",0.34,45.7
"1,049.00",0.34,45.7
"1,050.00",0.341,45.6
"1,051.00",0.342,45.5
"1,052.00",0.342,45.5
"1,053.00",0.342,45.5
"1,054.00",0.342,45.5
"1,055.00",0.342,45.5
"1,056.00",0.343,45.4
"1,057.00",0.344,45.3
"1,058.00",0.349,44.7
"1,059.00",0.357,43.9
"1,060.00",0.366,43
"1,061.00",0.368,42.8
"1,062.00",0.368,42.8
"1,063.00",0.369,42.7
"1,064.00",0.373,42.3
"1,065.00",0.374,42.3
"1,066.00",0.375,42.2
"1,067.00",0.375,42.2
"1,068.00",0.376,42.1
"1,069.00",0.376,42.1
"1,070.00",0.382,41.5
"1,071.00",0.383,41.4
"1,072.00",0.385,41.2
"1,073.00",0.386,41.1
"1,074.00",0.386,41.1
"1,075.00",0.39,40.7
"1,076.00",0.391,40.7
"1,077.00",0.39,40.7
"1,078.00",0.392,40.6
"1,079.00",0.392,40.6
"1,080.00",0.393,40.4
"1,081.00",0.389,40.8
"1,082.00",0.393,40.5
"1,083.00",0.392,40.5
"1,084.00",0.392,40.5
"1,085.00",0.392,40.5
"1,086.00",0.389,40.8
"1,087.00",0.389,40.8
"1,088.00",0.397,40.1
"1,089.00",0.398,40
"1,090.00",0.399,39.9
"1,091.00",0.4,39.9
"1,092.00",0.4,39.8
"1,093.00",0.399,39.9
"1,094.00",0.401,39.7
"1,095.00",0.401,39.7
"1,096.00",0.404,39.5
"1,097.00",0.407,39.2
"1,098.00",0.412,38.7
"1,099.00",0.418,38.2
"1,100.00",0.252,56
,,
,,
S6 Irrad 1 9,,
S6 Irrad 1 9 2,"Date : 15/07/2021, 14:13:09",
Wavelength (nm),ABS,%T
190.00,2.305,0.5
191.00,2.413,0.4
192.00,2.431,0.4
193.00,2.533,0.3
194.00,2.594,0.3
195.00,2.595,0.3
196.00,2.613,0.2
197.00,2.655,0.2
198.00,2.674,0.2
199.00,2.687,0.2
200.00,2.689,0.2
201.00,2.696,0.2
202.00,2.704,0.2
203.00,2.763,0.2
204.00,2.77,0.2
205.00,2.858,0.1
206.00,2.863,0.1
207.00,2.863,0.1
208.00,2.864,0.1
209.00,2.868,0.1
210.00,2.867,0.1
211.00,2.867,0.1
212.00,2.869,0.1
213.00,2.866,0.1
214.00,2.868,0.1
215.00,3,0.1
216.00,3,0
217.00,3,0
218.00,3,0
219.00,3,0
220.00,3,0
221.00,3,0
222.00,3,0
223.00,3,0
224.00,3,0.1
225.00,3,0.1
226.00,3,0.1
227.00,3,0.1
228.00,3,0.1
229.00,3,0.1
230.00,3,0.1
231.00,3,0.1
232.00,2.955,0.1
233.00,2.884,0.1
234.00,2.814,0.2
235.00,2.743,0.2
236.00,2.673,0.2
237.00,2.603,0.2
238.00,2.529,0.3
239.00,2.448,0.4
240.00,2.364,0.4
241.00,2.293,0.5
242.00,2.231,0.6
243.00,2.182,0.7
244.00,2.131,0.7
