wavelength,S6 Post Heat,S6 Preheat,blank
946,58,59.03333333,99.2
947,58.075,59.1,99.2
948,58.075,59.1,99.2
949,58.075,59.13333333,99.2
950,57.15,58.23333333,99.2
951,56,57.13333333,99.1
952,55.825,56.96666667,98.9
953,55.45,56.83333333,98.9
954,55.1,56.7,98.9
955,54.825,56.23333333,98.9
956,54.75,56.06666667,98.9
957,54.375,56,98.9
958,54.15,55.73333333,98.9
959,53.95,55.43333333,98.9
960,53.9,55.3,98.9
961,53.775,55.13333333,98.9
962,53.65,55.03333333,98.9
963,53.575,54.96666667,98.9
964,53.375,54.83333333,98.9
965,53.2,54.73333333,98.9
966,53.1,54.56666667,98.9
967,52.85,54.33333333,98.9
968,52.625,54.13333333,98.9
969,52.225,53.7,98.9
970,51.85,53.4,98.9
971,51.725,53.33333333,98.9
972,51.8,53.33333333,98.8
973,51.85,53.5,98.9
974,52.025,53.66666667,98.9
975,52.325,53.9,99
976,52.4,53.96666667,99
977,52.425,53.9,98.8
978,52.75,54.46666667,99.4
979,53.25,54.96666667,99.6
980,54.575,55.8,99.5
981,55.4,55.86666667,99.2
982,55.925,57.56666667,100
983,56,57.96666667,100
984,55.9,57.8,99.9
985,54.975,56.4,99.1
986,54.4,55.93333333,99.1
987,53.425,55.3,99.3
988,53.2,54.86666667,99.5
989,53.15,54.66666667,99.4
990,53.2,54.63333333,99.4
991,53.425,54.8,99.1
992,53.85,55.3,99.2
993,54.575,55.93333333,99
994,57.525,55.83333333,98.6
995,57.75,57.4,98.9
996,57.575,57.8,99.1
997,57.25,57.9,99.1
998,57,57.73333333,99
999,56.4,57.4,98.9
1000,55.8,57.03333333,98.8
1001,55.375,56.8,98.8
1002,55.275,56.43333333,98.8
1003,55.05,56.06666667,98.8
1004,54.975,56.06666667,98.9
1005,54.975,56.06666667,99
1006,54.975,56.1,99.4
1007,54.975,56.06666667,99.3
1008,54.875,56.1,99.3
1009,54.825,56.13333333,99.2
1010,54.85,56.03333333,99.2
1011,54.825,56.06666667,99.2
1012,54.875,56.16666667,99.1
1013,55.25,56.26666667,99.1
1014,55.575,56.56666667,99.1
1015,55.45,56.8,99.7
1016,55.45,56.66666667,99.1
1017,55.525,56.53333333,98.8
1018,55.5,56.5,98.9
1019,55.125,56.4,99.2
1020,54.825,56.4,99.3
1021,54.55,56.26666667,98.9
1022,54.375,55.9,99
1023,54.35,55.46666667,98.9
1024,54,55.43333333,98.9
1025,53.925,55.23333333,98.9
1026,53.675,55.06666667,98.9
1027,53.575,55,99
1028,53.325,54.96666667,98.9
1029,53.25,54.96666667,98.9
