wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9
270,98.4,23.83333333,17.9,9.125,4.075,7.5,6.55,6.4,5.775,5.3,4.875,4.525,4.3,2.8,2.45,1.975,1.8,1.775,1.75,1.6,1.825
271,98.2,24.13333333,18.2,9.25,4.125,7.6,6.65,6.475,5.85,5.325,4.95,4.6,4.35,2.875,2.55,2.075,1.9,1.875,1.825,1.7,1.925
272,98.2,24.33333333,18.325,9.3,4.15,7.65,6.65,6.5,5.875,5.375,4.975,4.625,4.375,2.95,2.6,2.125,2,1.925,1.925,1.8,2.025
273,98.2,24.33333333,18.3,9.25,4.125,7.6,6.65,6.475,5.875,5.325,4.95,4.575,4.35,2.95,2.65,2.175,2,2,1.975,1.825,2.075
274,98.2,24.23333333,18.225,9.2,4.1,7.6,6.6,6.45,5.825,5.3,4.925,4.55,4.325,2.975,2.675,2.2,2.05,2,2.025,1.875,2.125
275,98.2,24.23333333,18.25,9.2,4.1,7.575,6.6,6.45,5.825,5.3,4.925,4.55,4.325,2.975,2.7,2.25,2.1,2.075,2.1,1.9,2.175
276,98.2,24.4,18.4,9.25,4.1,7.575,6.625,6.45,5.825,5.3,4.925,4.575,4.325,3,2.75,2.3,2.125,2.1,2.125,2,2.25
277,98.2,24.5,18.525,9.25,4.1,7.6,6.65,6.45,5.85,5.3,4.925,4.575,4.325,3.05,2.8,2.325,2.2,2.2,2.2,2.05,2.3
278,98.2,24.6,18.55,9.25,4.1,7.6,6.625,6.45,5.85,5.3,4.925,4.55,4.3,3.075,2.8,2.375,2.2,2.2,2.225,2.1,2.325
279,98.1,24.63333333,18.6,9.25,4.1,7.55,6.625,6.45,5.85,5.3,4.9,4.525,4.3,3.075,2.8,2.4,2.2,2.25,2.275,2.1,2.375
280,98.1,24.66666667,18.675,9.25,4.1,7.55,6.625,6.45,5.85,5.3,4.9,4.525,4.3,3.075,2.85,2.4,2.3,2.3,2.3,2.175,2.4
281,98.1,24.83333333,18.925,9.25,4.1,7.6,6.625,6.45,5.85,5.3,4.9,4.525,4.3,3.1,2.9,2.425,2.3,2.3,2.35,2.2,2.475
282,98.1,24.93333333,19.075,9.275,4.1,7.575,6.625,6.45,5.825,5.3,4.9,4.525,4.3,3.1,2.9,2.475,2.3,2.325,2.4,2.25,2.5
283,97.9,24.93333333,19.1,9.275,4.025,7.55,6.625,6.45,5.825,5.25,4.875,4.5,4.25,3.1,2.9,2.475,2.3,2.35,2.4,2.25,2.5
284,97.9,24.96666667,19.075,9.275,4,7.55,6.55,6.4,5.775,5.2,4.825,4.5,4.225,3.075,2.9,2.5,2.3,2.35,2.4,2.25,2.5
285,97.9,25.06666667,19.15,9.275,4,7.55,6.575,6.375,5.775,5.2,4.825,4.45,4.2,3.075,2.9,2.5,2.3,2.375,2.4,2.3,2.525
286,97.9,25.2,19.2,9.275,3.975,7.55,6.55,6.375,5.75,5.2,4.775,4.425,4.2,3.075,2.9,2.5,2.325,2.4,2.425,2.3,2.55
287,97.9,25.16666667,19.225,9.225,3.95,7.5,6.5,6.35,5.725,5.15,4.75,4.375,4.175,3.075,2.9,2.5,2.3,2.4,2.425,2.3,2.55
288,97.9,25.16666667,19.275,9.175,3.9,7.45,6.5,6.3,5.65,5.1,4.7,4.325,4.1,3.075,2.9,2.5,2.3,2.4,2.425,2.3,2.575
289,97.9,25.23333333,19.3,9.175,3.9,7.45,6.45,6.3,5.65,5.1,4.7,4.325,4.1,3.05,2.9,2.5,2.3,2.4,2.45,2.3,2.575
290,97.9,25.36666667,19.45,9.2,3.9,7.45,6.475,6.3,5.65,5.1,4.7,4.325,4.1,3.05,2.9,2.5,2.4,2.425,2.5,2.35,2.6
291,97.9,25.53333333,19.6,9.225,3.9,7.425,6.45,6.3,5.65,5.1,4.675,4.325,4.075,3.075,2.9,2.525,2.4,2.425,2.5,2.375,2.6
292,98,25.53333333,19.6,9.2,3.85,7.425,6.4,6.25,5.625,5.1,4.625,4.275,4.025,3.075,2.9,2.5,2.4,2.425,2.5,2.375,2.6
293,98,25.56666667,19.625,9.2,3.8,7.4,6.4,6.25,5.625,5.075,4.6,4.25,4.025,3.075,2.9,2.5,2.4,2.425,2.5,2.375,2.6
294,98,25.63333333,19.725,9.2,3.8,7.425,6.4,6.25,5.625,5.075,4.65,4.275,4.025,3.075,2.9,2.55,2.4,2.5,2.525,2.4,2.625
295,97.9,25.9,19.95,9.225,3.8,7.425,6.4,6.25,5.625,5.075,4.65,4.275,4.025,3.075,2.9,2.575,2.4,2.5,2.525,2.4,2.65
296,98,25.93333333,20.075,9.225,3.8,7.425,6.4,6.25,5.625,5.05,4.65,4.25,4.025,3.075,2.95,2.6,2.425,2.5,2.525,2.4,2.65
297,98.2,25.93333333,20.125,9.225,3.8,7.425,6.4,6.25,5.6,5.05,4.625,4.25,4.025,3.075,2.95,2.6,2.425,2.5,2.55,2.4,2.65
298,98.1,25.93333333,20.125,9.225,3.8,7.35,6.4,6.225,5.6,5.025,4.625,4.25,4,3.075,2.95,2.6,2.425,2.5,2.575,2.4,2.65
299,98.1,25.93333333,20.1,9.2,3.8,7.35,6.35,6.225,5.575,5.025,4.575,4.225,4,3.075,2.95,2.6,2.425,2.5,2.575,2.4,2.65
300,98.1,25.93333333,20.1,9.15,3.8,7.35,6.35,6.225,5.575,5,4.575,4.2,4,3.075,2.975,2.6,2.475,2.525,2.6,2.45,2.7
301,98.1,26,20.125,9.15,3.8,7.375,6.35,6.25,5.575,5.025,4.575,4.225,4,3.1,3,2.625,2.5,2.6,2.65,2.5,2.7
302,98.1,26,20.25,9.175,3.825,7.425,6.4,6.25,5.6,5.025,4.625,4.225,4,3.15,3.025,2.7,2.525,2.6,2.65,2.525,2.75
303,98.1,26.03333333,20.325,9.175,3.85,7.4,6.4,6.25,5.65,5.1,4.65,4.25,4.025,3.175,3.075,2.7,2.575,2.625,2.7,2.55,2.75
304,98.1,26.13333333,20.4,9.2,3.875,7.475,6.425,6.3,5.65,5.1,4.675,4.325,4.1,3.2,3.1,2.75,2.6,2.7,2.725,2.6,2.8
305,98,26.33333333,20.55,9.3,3.925,7.475,6.525,6.4,5.75,5.2,4.75,4.4,4.15,3.275,3.175,2.8,2.7,2.725,2.8,2.65,2.825
306,98,26.53333333,20.75,9.425,4,7.6,6.6,6.475,5.85,5.3,4.85,4.45,4.2,3.375,3.25,2.9,2.7,2.8,2.875,2.7,2.9
307,98,26.6,21.025,9.525,4.1,7.7,6.7,6.6,5.95,5.325,4.925,4.55,4.275,3.425,3.3,2.95,2.8,2.9,2.95,2.8,2.95
308,98,26.93333333,21.125,9.6,4.2,7.8,6.8,6.675,6.025,5.425,5.025,4.625,4.375,3.525,3.4,3.025,2.9,2.975,3.025,2.875,3
309,98.1,27,21.225,9.65,4.25,7.85,6.825,6.725,6.1,5.5,5.075,4.7,4.45,3.575,3.475,3.1,2.9,3,3.05,2.9,3.075
310,98.1,27,21.3,9.65,4.3,7.875,6.875,6.775,6.15,5.575,5.1,4.75,4.475,3.65,3.55,3.125,3,3.075,3.125,2.975,3.1
311,98.2,27.03333333,21.325,9.675,4.35,7.9,6.95,6.825,6.225,5.625,5.175,4.825,4.55,3.7,3.6,3.2,3.025,3.15,3.2,3,3.15
312,98.2,27.06666667,21.4,9.75,4.45,7.95,7,6.925,6.3,5.725,5.25,4.875,4.65,3.8,3.7,3.275,3.1,3.2,3.275,3.1,3.225
313,98.1,27.23333333,21.6,9.85,4.55,8.125,7.1,7.05,6.425,5.825,5.375,5,4.75,3.9,3.8,3.375,3.2,3.325,3.375,3.2,3.325
314,98.1,27.33333333,21.75,9.95,4.675,8.225,7.225,7.175,6.55,5.925,5.5,5.125,4.85,4,3.9,3.5,3.3,3.425,3.475,3.3,3.375
315,98,27.23333333,21.675,9.95,4.75,8.2,7.25,7.2,6.575,6.025,5.55,5.175,4.9,4.1,4,3.55,3.4,3.475,3.55,3.35,3.45
316,98,27.16666667,21.625,9.95,4.8,8.225,7.275,7.25,6.625,6.025,5.6,5.25,4.975,4.15,4.05,3.625,3.4,3.575,3.625,3.4,3.525
317,97.9,27.23333333,21.725,10.05,4.95,8.325,7.4,7.425,6.8,6.225,5.75,5.375,5.125,4.275,4.2,3.75,3.6,3.675,3.75,3.5,3.625
