wavelength,S10 Irrad 1,S10 Irrad 2,S10 Irrad 3,S10 Irrad 4,S10 Irrad 5,S10 Irrad 6,S10 Irrad 7,S10 Irrad 8,S10 Postheat,S10 Preheat,blank
401,25.375,25.075,25.575,24.2,25.4,25.825000000000003,25.900000000000002,26.4,31.575,34.325,97.6
402,25.575,25.3,25.725,24.380000000000003,25.65,26.025,26.075000000000003,26.5,31.674999999999997,34.425,97.6
403,25.700000000000003,25.4,25.799999999999997,24.499999999999996,25.725,26.2,26.175,26.6,31.725,34.449999999999996,97.6
404,25.725,25.4,25.85,24.499999999999996,25.75,26.2,26.2,26.6,31.625,34.474999999999994,97.6
405,25.725,25.450000000000003,25.85,24.520000000000003,25.725,26.25,26.275,26.6,31.6,34.449999999999996,97.7
406,25.725,25.55,25.950000000000003,24.6,25.825000000000003,26.25,26.375,26.7,31.6,34.449999999999996,97.6
407,25.85,25.625,26.125,24.82,25.924999999999997,26.35,26.425,26.8,31.625,34.475,97.6
408,25.975,25.825,26.275,25.000000000000004,26.175,26.674999999999997,26.575,27.1,31.700000000000003,34.550000000000004,97.8
409,26.125,25.950000000000003,26.525,25.119999999999997,26.275,26.85,26.775,27.3,31.799999999999997,34.675,97.8
410,26.175,26.075,26.6,25.26,26.35,26.875,26.875,27.3,31.799999999999997,34.65,97.8
411,26.225,26.075,26.625,25.3,26.4,26.925,26.975,27.4,31.799999999999997,34.6,97.9
412,26.325,26.175,26.725,25.36,26.475,27.099999999999998,27.1,27.5,31.799999999999997,34.625,97.8
413,26.475,26.275,26.924999999999997,25.46,26.624999999999996,27.275,27.275,27.7,31.824999999999996,34.675,97.8
414,26.599999999999998,26.375,27.099999999999998,25.640000000000004,26.75,27.425,27.4,27.8,31.849999999999994,34.725,97.8
415,26.675,26.55,27.225,25.82,26.9,27.625,27.5,27.8,31.950000000000003,34.8,97.9
416,26.85,26.675,27.4,26.080000000000002,27.075,27.799999999999997,27.65,28.0,32.025,34.825,98.4
417,27.025000000000002,26.825000000000003,27.55,26.18,27.25,27.95,27.824999999999996,28.2,32.1,34.875,98.4
418,27.125,27.05,27.700000000000003,26.3,27.375,28.1,28.025,28.3,32.15,35.0,98.4
419,27.275,27.175,27.925,26.479999999999997,27.55,28.299999999999997,28.2,28.4,32.25,35.025,98.4
420,27.375,27.275,28.025,26.6,27.65,28.375,28.324999999999996,28.5,32.324999999999996,35.150000000000006,98.4
421,27.424999999999997,27.35,28.075,26.619999999999997,27.65,28.375,28.35,28.6,32.324999999999996,35.125,98.4
422,27.450000000000003,27.35,28.075,26.640000000000004,27.674999999999997,28.474999999999998,28.35,28.6,32.324999999999996,35.075,98.1
423,27.55,27.4,28.200000000000003,26.72,27.75,28.6,28.45,28.8,32.3,35.075,98.1
424,27.575,27.525000000000002,28.200000000000003,26.8,27.85,28.674999999999997,28.525000000000002,28.8,32.3,35.075,98.1
425,27.625,27.599999999999998,28.275,26.9,27.924999999999997,28.775,28.55,28.9,32.3,35.075,98.1
426,27.75,27.599999999999998,28.400000000000002,26.98,27.950000000000003,28.775,28.674999999999997,28.9,32.3,35.0,98.1
427,27.799999999999997,27.75,28.45,27.080000000000002,27.950000000000003,28.85,28.75,28.9,32.275,35.0,98.0
428,27.85,27.775,28.575,27.1,28.05,28.900000000000002,28.85,29.0,32.3,35.0,98.0
429,27.9,27.95,28.625,27.2,28.15,29.1,29.0,29.0,32.3,35.0,98.0
430,28.05,28.025,28.775,27.32,28.275,29.125,29.075,29.2,32.3,35.075,98.0
431,28.1,28.1,28.875,27.439999999999998,28.35,29.299999999999997,29.099999999999998,29.3,32.3,35.1,97.9
432,28.175,28.275,29.0,27.580000000000002,28.5,29.475,29.275,29.5,32.349999999999994,35.1,98.0
433,28.275,28.425,29.200000000000003,27.68,28.599999999999998,29.525,29.375,29.6,32.425,35.175,97.9
