wavelength,blank,S9 Preheat,S9 Postheat,S9 Postheat Day 1,S9 Irrad 1,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15
323,0.592,0.49775,0.5638,0.603666667,1.1985,1.27125,1.2886,1.31075,1.3215,1.29,1.287,1.2755,1.29675,1.26625,1.268,1.25275,1.2605,1.2845,1.2505,1.228
324,0.592,0.4985,0.5642,0.603666667,1.1895,1.2605,1.2778,1.30075,1.31075,1.27875,1.27675,1.2645,1.28675,1.256,1.25775,1.24275,1.25075,1.2755,1.242,1.21875
325,0.592,0.4995,0.5654,0.605,1.18275,1.25025,1.2676,1.29025,1.30025,1.26875,1.26825,1.2555,1.2765,1.2465,1.24925,1.23425,1.242,1.26625,1.2335,1.21075
326,0.593,0.4995,0.5652,0.605333333,1.173,1.2375,1.2542,1.27775,1.288,1.25825,1.25625,1.2445,1.2655,1.23575,1.23825,1.2235,1.232,1.2565,1.22425,1.20025
327,0.592,0.4995,0.5656,0.604666667,1.16025,1.22275,1.239,1.26275,1.27225,1.244,1.24175,1.231,1.25125,1.223,1.2255,1.21075,1.2195,1.24375,1.212,1.18775
328,0.589,0.4975,0.5628,0.602,1.1455,1.206,1.2228,1.24625,1.25625,1.2285,1.227,1.21575,1.236,1.2085,1.211,1.197,1.2055,1.23,1.198,1.17475
329,0.586,0.49325,0.5598,0.598333333,1.13075,1.18975,1.2054,1.2295,1.23975,1.21275,1.21125,1.2005,1.22,1.19325,1.19275,1.18175,1.19025,1.215,1.18325,1.1595
330,0.581,0.49,0.556,0.594666667,1.11525,1.173,1.188,1.212,1.22275,1.19525,1.19475,1.1835,1.204,1.1775,1.17825,1.16675,1.175,1.19975,1.16775,1.14375
331,0.577,0.486,0.5522,0.589666667,1.09975,1.1555,1.1704,1.19475,1.20575,1.179,1.17825,1.1665,1.18825,1.162,1.1625,1.15125,1.15925,1.18475,1.1525,1.12875
332,0.575,0.48475,0.5508,0.587333333,1.08725,1.142,1.1558,1.1805,1.191,1.165,1.16475,1.15275,1.174,1.14925,1.1495,1.1385,1.146,1.17125,1.14025,1.1165
333,0.575,0.4845,0.551,0.587333333,1.07775,1.13,1.1446,1.16975,1.1795,1.15375,1.1545,1.14375,1.164,1.139,1.13975,1.129,1.136,1.162,1.131,1.10725
334,0.576,0.4845,0.5512,0.587333333,1.06825,1.11925,1.1332,1.15775,1.1685,1.1425,1.14325,1.1335,1.153,1.12875,1.129,1.1195,1.12675,1.1525,1.121,1.09675
335,0.572,0.48325,0.5506,0.585,1.05575,1.10525,1.118,1.144,1.1545,1.12925,1.131,1.11975,1.14075,1.11675,1.11675,1.10675,1.11475,1.14025,1.1095,1.08625
336,0.57,0.48125,0.5468,0.581,1.042,1.0895,1.1024,1.1285,1.13875,1.11425,1.116,1.1045,1.12625,1.10225,1.1025,1.093,1.10075,1.126,1.09675,1.07225
337,0.567,0.479,0.5452,0.578333333,1.0295,1.0755,1.0886,1.1145,1.12425,1.1005,1.10275,1.0915,1.11325,1.08925,1.08925,1.081,1.08825,1.113,1.08425,1.06025
338,0.564,0.478,0.5442,0.576666667,1.0185,1.063,1.0756,1.1015,1.11125,1.08825,1.09075,1.07875,1.101,1.0775,1.0775,1.069,1.07675,1.1015,1.073,1.049
