wavelength,blank,S8 Postheat,S8 Preheat
1015,99,65.66,62.85
1016,99,65.64,62.925
1017,99.1,65.64,63.05
1018,99,65.44,63.025
1019,98.9,65.24,62.8
1020,98.6,65.04,62.6
1021,98.6,64.86,62.5
1022,98.6,64.62,62.2
1023,98.6,64.5,62.025
1024,98.7,64.52,61.675
1025,98.7,64.44,61.4
1026,98.7,64.4,61.3
1027,98.7,64.28,61.125
1028,98.8,64.22,61.025
1029,98.8,64.06,60.975
1030,98.6,63.78,60.975
1031,99,63.86,60.8
1032,99,63.86,60.775
1033,99,63.84,60.725
1034,99,63.8,60.625
1035,98.9,63.76,60.55
1036,98.7,63.42,60.425
1037,98.7,63.28,60.325
1038,98.7,63.14,60.125
1039,98.7,62.98,59.875
1040,98.6,62.88,59.675
1041,98.7,62.82,59.4
1042,98.6,62.66,59.3
1043,98.6,62.48,59.25
1044,98.6,62.42,59.25
1045,98.6,62.4,59.15
1046,98.7,62.42,58.925
1047,98.6,62.38,58.875
1048,98.6,62.28,58.825
1049,98.6,62.3,58.85
1050,98.6,62.2,58.825
1051,98.6,62.2,58.725
1052,98.6,62.1,58.75
1053,98.7,62.14,58.675
1054,98.9,62.18,58.55
1055,98.9,62.04,58.525
1056,99.3,62.16,58.375
1057,99.3,62.02,58.125
1058,99.2,61.52,57.925
1059,98.9,60.92,57.1
1060,99,60.8,56
1061,98.9,60.48,55.55
1062,98.6,60.16,55.325
1063,98.4,59.96,55.275
1064,98.6,60.12,55.3
1065,98.6,60.24,55.45
1066,98.8,60.22,55.45
1067,98.1,59.86,55.4
1068,98.1,59.8,55.3
1069,98.1,59.7,54.675
1070,98.4,59.84,54.6
1071,98.5,59.7,54.625
1072,98.3,59.62,54.575
1073,98.3,59.6,54.525
1074,97.6,59.1,54.45
1075,97.7,59.06,54.375
1076,98.3,59,54.25
1077,98.4,58.92,54.25
1078,98.4,58.98,54.1
1079,98.2,58.78,54.125
1080,98.2,58.84,54.05
1081,98.2,58.74,54.175
1082,98.2,58.66,54.125
1083,98,58.56,54.175
1084,97.9,58.46,54.075
1085,98,58.5,54.025
1086,98,58.62,54.05
1087,98.3,58.98,54.175
1088,98.5,58.94,54.175
1089,98.5,58.9,54.15
1090,98.5,58.74,53.825
1091,98.5,58.42,53.125
1092,98.3,58.42,52.975
1093,98.3,58.38,52.9
1094,98.3,58.36,52.8
1095,98.4,58.58,52.8
1096,98.4,58.66,52.75
1097,98.6,58.48,52.975
1098,98.7,58.34,52.825
1099,98.8,57.98,52.375
1100,95.5,72.06,77.125
